STATISTIC,Statistic,TLIST(M1),Month,C02583V03135,NACE Group,UNIT,VALUE
RSM05C01,Retail Sales Index Value Unadjusted,201501,2015M01,45,Motor trades (45),Base 2015=100,176.4
RSM05C01,Retail Sales Index Value Unadjusted,201501,2015M01,4711,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",Base 2015=100,89.9
RSM05C01,Retail Sales Index Value Unadjusted,201501,2015M01,4719,Department stores (4719),Base 2015=100,80
RSM05C01,Retail Sales Index Value Unadjusted,201501,2015M01,4730,Retail sale of automotive fuel (4730),Base 2015=100,85.7
RSM05C01,Retail Sales Index Value Unadjusted,201501,2015M01,4752,"Retail sale of hardware, paints and glass (4752)",Base 2015=100,79.6
RSM05C01,Retail Sales Index Value Unadjusted,201501,2015M01,4759,Retail sale of furniture and lighting (4759),Base 2015=100,105
RSM05C01,Retail Sales Index Value Unadjusted,201501,2015M01,5630,Bars (5630),Base 2015=100,70.9
RSM05C01,Retail Sales Index Value Unadjusted,201501,2015M01,V3970,All retail businesses,Base 2015=100,109.6
RSM05C01,Retail Sales Index Value Unadjusted,201501,2015M01,V3980,"Motor trades and automotive fuel (45,4730)",Base 2015=100,163.2
RSM05C01,Retail Sales Index Value Unadjusted,201501,2015M01,X1310,"All retail businesses, excluding motor trades and bars",Base 2015=100,85.3
RSM05C01,Retail Sales Index Value Unadjusted,201501,2015M01,X1320,"All retail businesses, excluding motor trades",Base 2015=100,84.5
RSM05C01,Retail Sales Index Value Unadjusted,201501,2015M01,X1330,"All retail businesses, excluding motor trades, automotive fuel and bars",Base 2015=100,85.3
RSM05C01,Retail Sales Index Value Unadjusted,201501,2015M01,X1340,"Retail sale of food (4711,4721 to 4729)",Base 2015=100,89.2
RSM05C01,Retail Sales Index Value Unadjusted,201501,2015M01,X1350,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",Base 2015=100,81.7
